,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
277,2.0,French Polynesia,PYF,142.0,279287.0,,2020-10-08,0.0,1.0,2021-07-01,2020-03-10,EPI_FIRST_WAVE,,5.084375570649547,0.0,,,,,,,,,,,,,,,
278,4.0,Qatar,QAT,244.0,2832067.0,21508.835,2020-04-23,1215903.0,1.0,2020-12-26,2020-02-29,EPI_SECOND_WAVE,37779.435000000005,2.08328404659918,7645.189891340848,-37.0,-44.0,348.0,-32.0,-32.0,-39.0,348.0,-37.0,-36.0,20.0,-46.0,-39.0,-39.0,-20.0,51.0
279,4.0,Qatar,QAT,347.0,2832067.0,12444.150000000001,2021-02-12,952773.0,2.0,2021-07-01,2020-12-26,EPI_SECOND_WAVE,37779.435000000005,2.08328404659918,7645.189891340848,-37.0,-44.0,348.0,-32.0,-32.0,-39.0,348.0,-37.0,-36.0,20.0,-46.0,-39.0,-39.0,-20.0,51.0
280,5.0,Reunion,REU,45.0,,,2020-09-13,0.0,1.0,2020-12-14,2020-03-13,EPI_THIRD_WAVE,,,,,,,,,,,,,,,,,,
281,5.0,Reunion,REU,109.0,,,2021-02-25,0.0,2.0,2021-05-11,2020-12-14,EPI_THIRD_WAVE,,,,,,,,,,,,,,,,,,
282,5.0,Reunion,REU,0.0,,,2021-05-12,0.0,3.0,2021-09-19,2021-05-11,EPI_THIRD_WAVE,,,,,,,,,,,,,,,,,,
283,6.0,Kosovo,RKS,628.0,,15425.295000000002,2020-04-15,0.0,1.0,2020-10-09,2020-03-13,EPI_THIRD_WAVE,33184.845,,,-33.0,-34.0,357.0,-35.0,-23.0,-33.0,-23.0,-33.0,-33.0,215.0,236.0,,,,
284,6.0,Kosovo,RKS,713.0,,5794.749999999999,2020-10-13,0.0,2.0,2021-01-05,2020-10-09,EPI_THIRD_WAVE,33184.845,,,-33.0,-34.0,357.0,-35.0,-23.0,-33.0,-23.0,-33.0,-33.0,215.0,236.0,,,,
285,6.0,Kosovo,RKS,914.0,,10078.689999999999,2021-01-08,0.0,3.0,2021-07-01,2021-01-05,EPI_THIRD_WAVE,33184.845,,,-33.0,-34.0,357.0,-35.0,-23.0,-33.0,-23.0,-33.0,-33.0,215.0,236.0,,,,
286,2.0,Romania,ROU,34262.0,19356544.0,29378.525,2020-03-25,8586098.5,1.0,2021-07-01,2020-02-26,EPI_FIRST_WAVE,30931.285000000003,17.70047380358808,4435.760071632622,-6.0,-14.0,,-17.0,-3.0,6.0,0.0,5.0,-4.0,433.0,215.0,-12.0,3.0,39.0,165.0
