,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth
25326,Costa Rica,CRI,2020-07-31,456.0,558.1428571428571,8.0,6.642857142857142
25327,Costa Rica,CRI,2020-08-01,490.0,553.1428571428571,7.0,7.0
25328,Costa Rica,CRI,2020-08-02,530.0,560.7857142857143,10.0,7.357142857142858
25329,Costa Rica,CRI,2020-08-03,367.0,545.4285714285714,4.0,7.142857142857142
25330,Costa Rica,CRI,2020-08-04,788.0,561.5,8.0,7.142857142857142
25331,Costa Rica,CRI,2020-08-05,427.0,562.0,9.0,7.5
25332,Costa Rica,CRI,2020-08-06,435.0,573.2857142857142,10.0,8.071428571428571
25333,Costa Rica,CRI,2020-08-07,580.0,575.4285714285714,10.0,8.571428571428571
25334,Costa Rica,CRI,2020-08-08,653.0,567.2142857142858,9.0,8.571428571428571
25335,Costa Rica,CRI,2020-08-09,1011.0,600.8571428571429,18.0,9.357142857142858
25336,Costa Rica,CRI,2020-08-10,721.0,585.8571428571429,10.0,9.285714285714286
25337,Costa Rica,CRI,2020-08-11,484.0,575.5,7.0,9.357142857142858
25338,Costa Rica,CRI,2020-08-12,586.0,573.6428571428571,9.0,9.214285714285714
25339,Costa Rica,CRI,2020-08-13,636.0,583.1428571428571,11.0,9.285714285714286
25340,Costa Rica,CRI,2020-08-14,549.0,589.7857142857142,8.0,9.285714285714286
25341,Costa Rica,CRI,2020-08-15,1072.0,631.3571428571429,9.0,9.428571428571429
25342,Costa Rica,CRI,2020-08-16,802.0,650.7857142857142,9.0,9.357142857142858
25343,Costa Rica,CRI,2020-08-17,806.0,682.1428571428571,10.0,9.785714285714286
25344,Costa Rica,CRI,2020-08-18,728.0,677.8571428571429,3.0,9.428571428571429
25345,Costa Rica,CRI,2020-08-19,619.0,691.5714285714287,10.0,9.5
25346,Costa Rica,CRI,2020-08-20,559.0,700.4285714285713,10.0,9.5
25347,Costa Rica,CRI,2020-08-21,766.0,713.7142857142858,7.0,9.285714285714286
25348,Costa Rica,CRI,2020-08-22,666.0,714.6428571428571,12.0,9.5
25349,Costa Rica,CRI,2020-08-23,1059.0,718.0714285714287,7.0,8.714285714285714
25350,Costa Rica,CRI,2020-08-24,950.0,734.4285714285713,8.0,8.571428571428571
25351,Costa Rica,CRI,2020-08-25,736.0,752.4285714285713,7.0,8.571428571428571
25352,Costa Rica,CRI,2020-08-26,643.0,756.5,7.0,8.428571428571429
25353,Costa Rica,CRI,2020-08-27,842.0,771.2142857142858,14.0,8.642857142857142
25354,Costa Rica,CRI,2020-08-28,1002.0,803.5714285714287,10.0,8.785714285714286
25355,Costa Rica,CRI,2020-08-29,985.0,797.3571428571429,11.0,8.928571428571429
25356,Costa Rica,CRI,2020-08-30,1193.0,825.2857142857142,10.0,9.0
25357,Costa Rica,CRI,2020-08-31,1214.0,854.4285714285713,11.0,9.071428571428571
25358,Costa Rica,CRI,2020-09-01,0.0,802.4285714285713,0.0,8.857142857142858
25359,Costa Rica,CRI,2020-09-02,1588.0,871.6428571428571,18.0,9.428571428571429
25360,Costa Rica,CRI,2020-09-03,897.0,895.7857142857142,7.0,9.214285714285714
25361,Costa Rica,CRI,2020-09-04,1121.0,921.1428571428572,10.0,9.428571428571429
25362,Costa Rica,CRI,2020-09-05,1153.0,955.9285714285713,7.0,9.071428571428571
25363,Costa Rica,CRI,2020-09-06,1222.0,967.5714285714287,9.0,9.214285714285714
25364,Costa Rica,CRI,2020-09-07,1240.0,988.2857142857144,9.0,9.285714285714286
25365,Costa Rica,CRI,2020-09-08,1027.0,1009.0714285714287,13.0,9.714285714285714
25366,Costa Rica,CRI,2020-09-09,833.0,1022.6428571428572,19.0,10.571428571428571
25367,Costa Rica,CRI,2020-09-10,1117.0,1042.2857142857142,21.0,11.071428571428573
25368,Costa Rica,CRI,2020-09-11,1327.0,1065.5,12.0,11.214285714285712
25369,Costa Rica,CRI,2020-09-12,1325.0,1089.7857142857142,24.0,12.142857142857142
25370,Costa Rica,CRI,2020-09-13,1420.0,1106.0,16.0,12.571428571428573
25371,Costa Rica,CRI,2020-09-14,1485.0,1125.357142857143,7.0,12.285714285714285
25372,Costa Rica,CRI,2020-09-15,970.0,1194.642857142857,15.0,13.357142857142858
25373,Costa Rica,CRI,2020-09-16,937.0,1148.142857142857,16.0,13.214285714285715
25374,Costa Rica,CRI,2020-09-17,777.0,1139.5714285714287,12.0,13.571428571428573
25375,Costa Rica,CRI,2020-09-18,1378.0,1157.9285714285713,16.0,14.0
25376,Costa Rica,CRI,2020-09-19,1302.0,1168.5714285714287,17.0,14.714285714285715
25377,Costa Rica,CRI,2020-09-20,1556.0,1192.4285714285713,20.0,15.5
25378,Costa Rica,CRI,2020-09-21,1338.0,1199.4285714285713,20.0,16.285714285714285
25379,Costa Rica,CRI,2020-09-22,1187.0,1210.857142857143,21.0,16.857142857142858
25380,Costa Rica,CRI,2020-09-23,703.0,1201.5714285714287,18.0,16.785714285714285
25381,Costa Rica,CRI,2020-09-24,1087.0,1199.4285714285713,15.0,16.357142857142858
25382,Costa Rica,CRI,2020-09-25,1370.0,1202.5,21.0,17.0
25383,Costa Rica,CRI,2020-09-26,1400.0,1207.857142857143,14.0,16.285714285714285
25384,Costa Rica,CRI,2020-09-27,1357.0,1203.357142857143,17.0,16.357142857142858
25385,Costa Rica,CRI,2020-09-28,1233.0,1185.357142857143,16.0,17.0
25386,Costa Rica,CRI,2020-09-29,935.0,1182.857142857143,19.0,17.285714285714285
25387,Costa Rica,CRI,2020-09-30,730.0,1168.0714285714287,14.0,17.142857142857142
