,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth,new_tests,new_tests_smooth,positive_rate,positive_rate_smooth,cfr_smooth
25302,Costa Rica,CRI,2020-07-07,375.0,198.78571428571428,1.0,0.5,1222.0,1066.0,0.306873977086743,0.250999543652929,0.005718954248366013
25303,Costa Rica,CRI,2020-07-08,245.0,211.71428571428572,4.0,0.7857142857142857,1128.0,1105.0,0.21719858156028368,0.2587487297307923,0.008352315869400152
25304,Costa Rica,CRI,2020-07-09,245.0,222.71428571428572,0.0,0.7857142857142857,1750.0,1175.0,0.14,0.25718966925195424,0.0077738515901060075
25305,Costa Rica,CRI,2020-07-10,350.0,237.21428571428572,1.0,0.8571428571428571,1367.0,1237.0,0.25603511338697876,0.24875003685110464,0.007868852459016393
25306,Costa Rica,CRI,2020-07-11,649.0,271.5,2.0,1.0,1478.0,1306.0,0.439106901217862,0.27283086814446655,0.00841852074564041
25307,Costa Rica,CRI,2020-07-12,360.0,286.35714285714283,1.0,1.0714285714285714,1792.0,1391.0,0.20089285714285715,0.26715820434210347,0.007970244420828906
25308,Costa Rica,CRI,2020-07-13,386.0,303.7142857142857,1.0,1.0714285714285714,1989.0,1532.0,0.19406737053795878,0.25059640013324047,0.007197696737044145
25309,Costa Rica,CRI,2020-07-14,365.0,319.0,2.0,1.0714285714285714,1435.0,1563.0,0.25435540069686413,0.24309374636325773,0.006657789613848203
25310,Costa Rica,CRI,2020-07-15,440.0,340.5,1.0,1.1428571428571428,1334.0,1592.0,0.32983508245877063,0.2591846750630416,0.006415396952686447
25311,Costa Rica,CRI,2020-07-16,446.0,358.7857142857143,5.0,1.4285714285714286,1562.0,1565.0,0.2855313700384123,0.27997487078281474,0.007186489399928136
25312,Costa Rica,CRI,2020-07-17,504.0,373.7857142857143,4.0,1.7142857142857142,1568.0,1594.0,0.32142857142857145,0.2893167933601851,0.008097165991902834
25313,Costa Rica,CRI,2020-07-18,560.0,394.5,2.0,1.7142857142857142,1116.0,1542.0,0.5017921146953405,0.29827182385696777,0.0076972418216805635
25314,Costa Rica,CRI,2020-07-19,423.0,404.14285714285717,5.0,2.0714285714285716,1524.0,1504.0,0.27755905511811024,0.3092241378534325,0.008732309545317675
